trustChurch_postTreat,responsiveness_postTreat,memberDuration,Concordant,attendanceBin,Country,futureVolunteer_postTreat,futureAttendance_postTreat,petitionInterest_postTreat,shouldAdvocate,rank_Conflict_position,age,gender,rank_SocioPolitic_position,rank_HumanRight_position,policyPref_econOverEnviron_position,policyPref_redistribute_position,policyPref_humanRights_position,policyPref_schoolPrayer_position,policyPref_military_position,responsiveness_preTreat,validityCheck,textViewed
10,10,16 years or more,0,Never/yearly,Brazil,8,8,9,10,1,25-34,Female,2,4,6,7,10,6,1,10,Se voce se tentar a fofocar morda sua lingua diz o papa.o papa completa 80 anos e fala com os cardeais durante a missa.Ame Deus hoje pois pode nao hav,"Em Roma, Papa completa 80 anos e fala aos Cardeais durante missa.
                        Se você é tentado a fofocar, 'morda sua língua', diz Papa.
                        Ame Deus hoje, porque você pode não ter o amanhã, diz Papa"
6,7,16 years or more,1,Monthly,Brazil,5,6,7,5,3,45-54,Female,1,2,5,6,6,8,5,6,Papa pede a redistribuição de renda,"Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
8,8,16 years or more,0,Weekly,Brazil,9,8,8,7,1,25-34,Male,2,3,1,10,9,9,8,9,O papa suplica para nos unirmos para acabar com a guerra,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
10,9,16 years or more,1,Monthly,Brazil,10,10,10,10,3,45-54,Female,2,4,1,5,10,10,4,10,"O Vaticano está focando nos DH da África. E diz que devemos defender a religião, e, promover os DH é fundamental para uniao européia.  ","Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
3,5,16 years or more,1,Never/yearly,Brazil,1,2,7,5,2,25-34,Male,3,1,3,3,5,8,8,7,Papa pede a lideres que utilizem medidas de desenvolvimento economico diferente,"Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
7,9,16 years or more,1,Monthly,Brazil,7,7,7,6,3,25-34,Female,2,1,6,8,6,9,8,9,"Não as consigo descrever totalmente, mas entendi sobre a desigualdade social ser prejudicial","Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
9,9,16 years or more,1,Weekly,Brazil,10,9,10,4,2,25-34,Male,3,4,3,6,8,3,2,7,Focar nos direitos humanos da África. Defender a liberdade religiosa. Empenhar-se nos direitos humanos da União Europeia.,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
5,5,16 years or more,0,Never/yearly,Brazil,5,1,10,10,4,25-34,Male,2,3,5,5,10,5,1,10,O Papa crê ser importante os jovens terem direito a recreação e educação. O Papa pede que dêem amor aos imigrantes.,"Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
3,3,16 years or more,0,Monthly,Brazil,3,4,5,10,3,45-54,Female,1,4,1,7,10,3,1,4,"""Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos"". ","Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
5,8,16 years or more,1,Weekly,Brazil,10,10,7,8,3,45-54,Female,4,2,4,5,8,8,4,8,"Educacao e lazer sao essenciais, saude a todos e acolhimento a imigrantes","Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
7,10,16 years or more,0,Never/yearly,Brazil,6,9,10,9,3,18-24,Male,1,4,5,4,10,9,7,9,"""Papa diz que a economia precisa passar pelo uma transformação radical afirmando que a economia precisa ser regularizada dos ricos para os pobres"". ","Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
8,7,16 years or more,0,Weekly,Brazil,7,7,8,8,4,18-24,Female,2,3,1,7,9,7,1,8,Papa quer direito humanos para África,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
2,4,16 years or more,0,Never/yearly,Brazil,3,1,10,10,3,18-24,Female,2,4,1,10,10,1,1,10,histeria homicida; acordo de paz,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
10,2,16 years or more,1,Weekly,Brazil,10,10,10,10,4,18-24,Female,3,1,6,10,10,10,8,10,"""Papa suplica para o fim da 'loucura homicida' do terrorismo""","Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
2,3,16 years or more,1,Never/yearly,Brazil,4,3,10,7,2,25-34,Male,3,1,1,8,4,10,1,10,"papa solicitou para lideres empresariais criarem novos modelos de negocios, papa pediu para reduzir o desperdicio e falou sobre a má distribuição de r","Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
10,9,16 years or more,1,Weekly,Brazil,10,10,9,10,4,18-24,Female,2,3,3,8,7,9,6,9,Papa encontra-se com líder colombiano as vesperas de acordo de paz. Papa afirma que devemos nos unir para diminuir a violencia.,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
10,10,16 years or more,0,Weekly,Brazil,10,10,10,8,1,25-34,Female,3,2,1,8,6,10,10,10,não devemos deixar niguém para trás,"Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
10,4,16 years or more,1,Monthly,Brazil,6,10,10,10,4,25-34,Female,2,3,8,8,2,10,10,8,Vamos lutar contra a guerra e violencia,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
6,6,16 years or more,0,Never/yearly,Brazil,8,3,6,4,3,45-54,Female,1,2,7,6,9,3,3,9,"Importante cuidar da saude de todos, os imigrantee precisam ser cuidados, as criancas precisam ter lazer. ","Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
7,8,16 years or more,0,Weekly,Brazil,8,8,9,10,3,45-54,Female,1,4,7,9,9,8,3,8,Papa pede igreja economicamente correta,"Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
10,10,16 years or more,1,Weekly,Brazil,10,10,10,10,3,35-44,Female,2,4,5,7,10,10,2,10,"vaticano defende  direitos humanos, papa foca em politicas humanas","Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
9,10,16 years or more,0,Weekly,Brazil,10,10,8,10,1,35-44,Male,3,4,2,9,10,10,4,10,Que se sentir vontade de fofocar devemos morder a lingua disse o papa quando fez 80 anos e que nao devemos esperar pelo amanha pq ele pode nao vir,"Em Roma, Papa completa 80 anos e fala aos Cardeais durante missa.
                        Se você é tentado a fofocar, 'morda sua língua', diz Papa.
                        Ame Deus hoje, porque você pode não ter o amanhã, diz Papa"
7,10,16 years or more,0,Weekly,Brazil,10,10,10,10,3,18-24,Female,1,4,10,10,10,10,10,10,"""Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos"".     ""Santa Sé apoia objetivos globais para saúde e afi","Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
5,4,16 years or more,1,Monthly,Brazil,2,5,4,10,3,45-54,Female,1,4,5,10,10,10,1,10,"Diplomacia do Vaticano passa a focar nos direitos humanos na África, - Papa é taxativo,liberdade religiosa é um presente de Deus: Defenda-a.  ","Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
8,8,16 years or more,1,Never/yearly,Brazil,5,8,10,10,2,25-34,Female,1,4,5,7,10,1,5,10,Igreja Católica passa a defender os direitos humanos na Africa,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
4,4,16 years or more,1,Weekly,Brazil,6,6,7,10,3,25-34,Female,2,4,3,9,10,3,1,7,Papa é a favor dos direitos humanos e se preocupa com isso e com o direito das pessoas em poderem escolher suas religiões ,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
5,6,16 years or more,0,Never/yearly,Brazil,6,6,7,6,4,35-44,Male,1,2,1,9,8,5,5,10,Direitos humanos,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
10,9,16 years or more,1,Monthly,Brazil,10,9,10,7,2,25-34,Female,1,3,3,4,9,8,3,6,papa diz que as decisões tomadas pelos governantes com relação a economia tiveram grande impacto na pobreza,"Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
8,7,16 years or more,0,Monthly,Brazil,6,8,10,9,3,25-34,Male,1,4,8,9,9,7,6,8,papa pede atençao aos refugiados e nao culpa,"Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
8,8,16 years or more,1,Monthly,Brazil,8,9,8,8,2,25-34,Female,3,4,2,9,8,10,2,10,Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
